
//CtB Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB

AR0020    N         AR3520      ExitSW      30        2          AR0042   AR0043   N        N        N        60
AR0020    N         AR3587      ExitE       24        2          AR0043   AR0042   N        N        N        30
AR0020    N         AR3597      ExitNE      1         1          N        N        N        N        N        0
AR0020    N         AR3570      ExitNE      6         1          AR0043   AR0044   N        N        N        25
AR0020    N         AR3585      ExitN       9         1          AR0043   AR0042   AR0044   N        N        40
AR0020    N         AR3534      ExitW       16        4          AR0043   AR0042   N        N        N        10
AR0020    N         AR3540      ExitSW      22        4          AR0043   AR0042   N        N        N        20
AR0020    N         AR3610      ExitN       48        1          AR0042   AR0044   N        N        N        90
AR0020    E         AR3520      ExitSW      30        2          AR0042   AR0043   N        N        N        60
AR0020    E         AR3587      ExitE       24        2          AR0043   AR0042   N        N        N        30
AR0020    E         AR3597      ExitNE      1         1          N        N        N        N        N        0
AR0020    E         AR3570      ExitNE      6         1          AR0043   AR0044   N        N        N        25
AR0020    E         AR3585      ExitN       9         1          AR0043   AR0042   AR0044   N        N        40
AR0020    E         AR3534      ExitW       16        4          AR0043   AR0042   N        N        N        10
AR0020    E         AR3540      ExitSW      22        4          AR0043   AR0042   N        N        N        20
AR0020    E         AR3610      ExitN       48        1          AR0042   AR0044   N        N        N        90

AR1100    N         AR3520      ExitSW      26        2          AR0042   AR0044   N        N        N        50
AR1100    W         AR3570      ExitNE      8         1          N        N        N        N        N        0
AR1100    W         AR3610      ExitN       43        1          AR0042   AR0044   N        N        N        20

AR1200    N         AR3520      ExitSW      27        2          AR0043   AR0044   N        N        N        60
AR1200    W         AR3570      ExitNE      8         1          N        N        N        N        N        0
AR1200    S         AR3534      ExitW       10        8          AR0043   AR0044   N        N        N        60
AR1200    S         AR3540      ExitSW      16        1          N        N        N        N        N        0
AR1200    E         AR3610      ExitN       42        1          AR0042   AR0044   N        N        N        10

AR1300    N         AR3520      ExitSW      28        2          AR0043   AR0042   N        N        N        40
AR1300    W         AR3597      ExitNE      1         4          N        N        N        N        N        0
AR1300    S         AR3585      ExitN       8         1          N        N        N        N        N        0

AR1304    N         AR3520      ExitSW      28        2          AR0043   AR0042   N        N        N        40
AR1304    W         AR3597      ExitNE      1         4          N        N        N        N        N        0
AR1304    S         AR3585      ExitN       8         1          N        N        N        N        N        0

AR1400    N         AR3520      ExitSW      27        2          AR0042   AR0044   N        N        N        30
AR1400    W         AR3597      ExitNE      3         4          N        N        N        N        N        0
AR1400    S         AR3570      ExitNE      7         1          N        N        N        N        N        0

AR1404    N         AR3520      ExitSW      27        2          AR0042   AR0044   N        N        N        30
AR1404    W         AR3597      ExitNE      3         4          N        N        N        N        N        0
AR1404    S         AR3570      ExitNE      7         1          N        N        N        N        N        0

AR2000    W         AR3597      ExitNE      4         8          N        N        N        N        N        0
AR2000    S         AR3570      ExitNE      2         1          AR0042   AR0044   N        N        N        10
AR2000    S         AR3585      ExitN       6         1          AR0042   AR0044   N        N        N        10
AR2000    E         AR3610      ExitN       45        4          AR0042   AR0044   N        N        N        10

